brand,name,address,latitude,longitude
3second,3 SECOND SUNRISE MALL MOJOKERTO,Sunrise Mall LT. G Blok GF/30. JL. Benteng Pancasila No. 9 ,-7.47160333,112.4434966
3second,3 SECOND FS SALATIGA,JL. Diponegoro No.68,-7.31886031,110.4973583
3second,3 SECOND FS PADANG,JL. Damar No. 69,-0.94387654,100.3544711
3second,3 SECOND LIPPO PLAZA JEMBER,Mall Lippo Plaza Jember (TOKO 3SECOND) Jl. Gajah Mada No. 106,-8.17369448,113.6878872
3second,3 SECOND FS CENDRAWASIH,JL. Cendrawasih No.2,-7.74673281,110.4013871
3second,3 SECOND FS KARAWANG,JL. Kertabumi No. 67a,-6.30205686,107.2925849
3second,3 SECOND ARTOS MAGELANG,JL. Mayjen Bambang Soegeng No. 1,-7.5044267,110.2241663
3second,3 SECOND RUKO GOWA MAKASSAR,JL. Sultan Hasanuddin No. 179 ,-5.19100216,119.4424507
3second,3 SECOND FS PENGAYOMAN MKS,JL. Pengayoman Komp. Edelweis Blok A5 (samping hotel Grand Imawan) No. 9,-5.15893049,119.4436972
3second,3 SECOND FS MEDAN,JL. Dr. Mansyur No. 134a,3.56765642,98.64654814
3second,3 SECOND FS PEKANBARU,JL. Seobrantas No. 32-33 Panam,0.46455476,101.3930528
3second,3 SECOND FS KENDARI,Jl. Sao Sao No. 183 A-B,-3.98390239,122.514259
3second,3 SECOND BG JUNCTION SBY,BG Junction Mall. LT.UG C- 49 JL. Bubutan No.1-7,-7.25567321,112.7336801
3second,3 SECOND FS SUBANG,JL. Otto Iskandardinata No. 75,-6.56394435,107.7663091
3second,3 SECOND PLAZA ASIA TASIK,Plaza  Asia Tasik lantai GF No.  59 JL. kHz Mustofa Tasikmalaya,-7.34115923,108.2177196
3second,3 SECOND SCP SAMARINDA,JL. Pulau Irian No. 1,-0.50332323,117.1554076
3second,3 SECOND FS RIAU BANDUNG,JL. Re Martadinata No. 61,-6.90593012,107.6162962
3second,3 SECOND FS CIMAHI  ,JL. Gandawijaya No. 39,-6.87467583,107.541442
3second,3 SECOND FS CIANJUR  ,JL. Hos Cokroaminoto No. 157 Cianjur,-6.8176119,107.1433039
3second,3 SECOND FS BANJARMASIN BARU,Jl. Veteran No.42,-3.32010751,114.5993103
3second,3 SECOND FS MAJALENGKA,Jl. Kh. Abdul Halim No. 225 Majalengka ,-6.83429145,108.2261289
3second,3 SECOND FS CSB CIREBON,Jl. Dr. Cipto Mangunkusumo No. 47,-6.71759718,108.550871
3second,3 SECOND FS CILACAP,Jl. Letnan Jenderal S Parman No .39 A ,-7.72299751,109.0132764
3second,3 SECOND FS DEPOK, JL. Margonda Raya No. 270C,-6.3790287,106.8313919
3second,3 SECOND FS KEPATIHAN BANDUNG,Jl. Kepatihan No.10,-6.92336116,107.6049165
3second,3 SECOND FS PURWOKERTO,Jl. Overste Isdiman No. 16,-7.41998768,109.2441622
