brand,name,address,latitude,longitude
Erigo,R128 - Ramayana Cibubur,"Plaza Cibubur Depan Entrance Ramayana (Samping Raff) - Jl. Lap. Tembak No.2 1, RT.2/RW.11, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",-6.352193400000001,106.8841993
Erigo,R15 - Ramayana Bogor Dewi Sartika,"Depan Supermarket - Jalan Dewi Sartika No.1,Cibogor, Bogor, RT.02/RW.01, Pabaton, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124",-6.589689,106.792492
Erigo,R20 - RAMAYANA CIPUTAT,"Selasar Tenda Depan
",-6.314819300000001,106.74734559999999
Erigo,R35 - Ramayana Cilegon,"GF Diantara Eskalator - X3H7+PG5, Jl. Raya Cilegon, Sukmajaya, Kec. Cilegon, Kota Cilegon, Banten 42438",-6.0207367000000005,106.0638571
Erigo,R38 - Ramayana Klender - Jakarta Timur,"Lt. Dasar Near JCO - Jl. I Gusti Ngurah Rai No.4 4, RT.7/RW.6, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470",-6.213895,106.9009448
Erigo,R40 - Ramayana Cengkareng - Jakarta Barat,"GF depan pintu masuk - RPWH+Q8R, Jl. Lkr. Luar Barat, RT.1/RW.2, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",-6.153000200000001,106.72826069999999
Erigo,R41 - RAMAYANA SIANTAR,"GF Depan Eskalator
",2.9601001999999994,99.0737173
Erigo,R42 - Ramayana Cijantung - Jakarta Timur,"GF Depan pintu masuk - Mall Graha Cijantung, Jl. Pendidikan I, RT.1/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760",-6.3126592,106.8620072
Erigo,R43 - Ramayana Cibinong - Bogor,"Hall Depan Pintu Masuk - Jl. Raya Jakarta-Bogor, Cirimekar, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16916",-6.4676184,106.8547134
Erigo,R49 - RAMAYANA CILEDUG,"GF Near Mako
",-6.226915699999999,106.7176355
Erigo,R52 - RAMAYANA PANGKAL PINANG,"Lt 1 Dekat Robinson
",-0.8292475,102.4439111
Erigo,R55 - RAMAYANA SAMARINDA SCP,"GF Samping Eskalator Benhill
",-0.5034619,117.1505903
Erigo,R57 - RAMAYANA PONTIANAK,Lt 1 Near Xiboba,-0.03698499999999999,109.3474475
Erigo,R58 - RAMAYANA MEDAN TELADAN,"Lt. Dasar Samping Supermarket Depan Kassa 1
",3.5654220000000003,98.692185
Erigo,R61 - RAMAYANA KUPANG,GF Dekat Akses Masuk Teras Ramayana,-10.173945699999999,123.61300889999998
